Text
"['  প্রধানমন্ত্রী শেখ হাসিনা বলেছেন, গণমাধ্যমের জন্য তাঁর চেয়ে বেশি সুযোগ আর কেউ সৃষ্টি করেননি, এত সুযোগ আর কখনো কেউ দেননি। কিন্তু দুটি পত্রিকা ২০ বছর ধরে তাঁর বিরুদ্ধে অনবরত লিখে গেছে। তিনিই গণমাধ্যমের সবচেয়ে বেশি শিকার (ভিকটিম) হয়েছেন। ']"
['  কিছুক্ষণ পরপরই হাউমাউ করে কেঁদে উঠছিলেন মধ্যবয়সী এক নারী। শাড়ির আঁচল দিয়ে মুছছেন চোখের পানি। আর তাঁকে সান্ত্বনা দিচ্ছেন আরেক তরুণী। যাঁর কোলে শিশু সন্তান। ইস্কাটনের জোড়া খুনের মামলার আসামি সাংসদপুত্র বখতিয়ার আলম রনিকে আজ রোববার সকালে আদালতে দেখার পর ওই নারীর আহাজারি আরও বেড়ে যায়।']
"['  ১৯ ওভার শেষে বাংলাদেশের দরকার ৩ রান। টিভি সেট, রেডিও কিংবা মাঠে বসে যারা মাহমুদুল্লাহ আর মাশরাফির কথোপকথন যারা দেখছিলেন সবাই নিশ্চিত ছিলেন যে, এবার হবে। ৬ মার্চ ভারতের সঙ্গে ফাইনাল খেলবে সাকিব-তামিমরা। ২০ ওভারের প্রথম বলটি আনোয়ার আলী করতেই সেটি মাঠের বাইরে পাঠালেন মাহমুদুল্লাহ। বাংলাদেশ চলে গেল দ্বিতীয়বারের মতো এশিয়া কাপের ফাইনালে। ']"
['  পছন্দসই জায়গা নিশ্চিত করতে না পারায় জাতীয় সম্মেলন নিয়ে কিছুটা অনিশ্চয়তায় পড়েছে বিএনপি। এর মধ্যে সম্মেলনের মূল আকর্ষণ মহাসচিব পদ ঘিরে দলের প্রভাবশালী নেতাদের মধ্যে নানামুখী তৎপরতা চলছে।']
"['  দেশের রপ্তানি প্রক্রিয়াকরণ এলাকার (ইপিজেড) কারখানায় ‘শ্রমিককল্যাণ সমিতি’ গঠন করতে পারবেন শ্রমিকেরা। সরকার বলছে, ট্রেড ইউনিয়নের আদলে এই সংগঠন করা যাবে। তবে শ্রমিক অধিকার নিয়ে কাজ করেন এমন ব্যক্তিরা বলছেন, কল্যাণ সমিতির আদলে ট্রেড ইউনিয়ন হতে পারে না।']"
"['  বাংলাদেশ গৌরব করতে পারে অধ্যাপক সেলিম শাহরিয়ারকে নিয়ে। দুনিয়া কাঁপানো মহাকর্ষ তরঙ্গ শনাক্ত করার ঘটনায় তিনি নেতৃত্ব দিয়েছেন যুক্তরাষ্ট্রের বিখ্যাত নর্থওয়েস্টার্ন বিশ্ববিদ্যালয়ের বিজ্ঞানীদের একটি দলকে। ১১ ফেব্রুয়ারি ওয়াশিংটনে সংবাদ সম্মেলন করে যুক্তরাষ্ট্রের বিজ্ঞানীরা ঘোষণা দিয়েছেন, ১৩০ কোটি আলোকবর্ষ দূরে দুটি কৃষ্ণগহ্বরের মিলনের ফলে যে তরঙ্গ উঠেছিল, তার সংকেত এসে ধরা পড়েছে তাঁদের যন্ত্রে। এই যন্ত্র তৈরিতে অবদান রেখেছেন বাংলাদেশের পাবনা জেলার বেড়ার সন্তান অধ্যাপক সেলিম শাহরিয়ার। নর্থওয়েস্টার্ন বিশ্ববিদ্যালয়ের ম্যাককরমিক স্কুল অব ইঞ্জিনিয়ারিংয়ের বুলেটিনে তাঁকে নিয়েই শিরোনাম করা হয়েছে, ‘সেলিম শাহরিয়ার অবদান রেখেছেন মহাকর্ষ তরঙ্গ আবিষ্কারে’।']"
['  ইংরেজি দৈনিক দ্য ডেইলি স্টার সম্পাদক মাহ্ফুজ আনামের বিরুদ্ধে গতকাল সোমবার ১৭ জেলায় বিচারিক হাকিম আদালতে আরও ১৭টি মামলা হয়েছে। এর মধ্যে কুষ্টিয়ায় এক মামলায়ই ৫০ হাজার কোটি টাকার মানহানির অভিযোগ করা হয়।']
['  বৃহত্তর ময়মনসিংহ জেলার পুরো অঞ্চলে ব্যাপক জমিদার-মহাজনের শাসন-শোষণের প্রতিক্রিয়ায় এবং ধর্মীয় প্রচারের কারণে মুসলিম সমাজে রক্ষণশীলতার প্রাধান্য লক্ষ করা গেছে। তাই এ অঞ্চলে ভাষা আন্দোলন সূচনালগ্নে বিস্তর বাধা-বিপত্তির সম্মুখীন হয়েছে; তবে হার মানেনি ছাত্র-যুব-জনতার মাতৃভাষা প্রেম।']
"['  মেহেরপুরের গাংনী উপজেলায় এক মায়ের চার মেয়ে। গত ২৪ জানুয়ারি স্কুলপড়ুয়া তৃতীয় মেয়ের বিয়ে দেওয়ার অনুমতি চেয়ে জেলা প্রশাসক বরাবর আবেদন করেন ওই মা। তাতে বলা হয়, স্কুল সনদ অনুযায়ী মেয়ের জন্মসাল ২০০৪। কিন্তু প্রকৃতপক্ষে মেয়ের বয়স ১৯ বছর।']"
['  বেসরকারি তিন ব্যাংকের কার্ড জালিয়াতি ঘটনার তদন্তে নেমেছে গোয়েন্দা পুলিশ। এ ঘটনায় দায়ের হওয়া মামলার তদন্তভার পুলিশের গোয়েন্দা বিভাগে (ডিবি) স্থানান্তরের প্রক্রিয়া শুরু হয়েছে। ইউনাইটেড কমার্শিয়াল ব্যাংক (ইউসিবি) গত শুক্রবার বনানী থানায় মামলা করে। এই মামলায় গতকাল সোমবার পর্যন্ত কেউ গ্রেপ্তার হয়নি।']
['  তথ্য ও যোগাযোগ প্রযুক্তি আইনের একটি মামলায় আপিল বিভাগ আমার দেশ পত্রিকার ভারপ্রাপ্ত সম্পাদক মাহমুদুর রহমানের জামিন বহাল রাখলেও নতুন আরেকটি মামলায় তাঁকে গ্রেপ্তার দেখানো হয়েছে। এই মামলায় পুলিশ তাঁকে সাত দিনের রিমান্ডে চেয়েছে। প্রায় তিন বছর তিনি কারাগারে আটক আছেন।']
"['  সন্ত্রাসবাদের ঝুঁকি, সংগঠিত অপরাধ ও অবৈধ অভিবাসন রোধে বাংলাদেশের সঙ্গে সহযোগিতা বাড়াতে চায় যুক্তরাজ্য। আর সমন্বিত উপায়ে এসব অপরাধ দূর করতে যুক্তরাজ্যের সঙ্গে একটি স্থায়ী কাঠামো গঠনের প্রস্তাব দিয়েছে বাংলাদেশ।']"
['  লিথুনিয়ার প্রধানমন্ত্রী আলগিরডাস বাটকেভিয়াসের ঢাকা সফর স্থগিত হয়েছে। দেশটির অভ্যন্তরীণ রাজনৈতিক পরিস্থিতির কারণে আজ মঙ্গলবার থেকে অনুষ্ঠেয় তিন দিনের সফরটি তিনি স্থগিত করে বাংলাদেশকে জানান।']
"['  ওয়াকার ইউনিসের সংবাদ সম্মেলনে এসে চুপ করে একটা চেয়ারে বসে পড়লেন ডিন জোন্স। ধারাভাষ্য দেওয়ার পাশাপাশি কলাম-টলামও লেখেন। ভেবেছিলাম, সেটির রসদ জোগাড় করতেই সাংবাদিকের ভূমিকায়। ভুল ভাঙল কথা বলতে গিয়ে। ডিন জোন্স সংবাদ সম্মেলনে এসেছেন মাশরাফি বিন মুর্তজার কথা শুনবেন বলে। তাঁর ম্যান অব দ্য ম্যাচ যে বাংলাদেশ-অধিনায়কই!']"
['  নাশকতার দুটি মামলায় বিএনপির স্থায়ী কমিটির সদস্য মির্জা আব্বাসকে জামিন দিয়েছেন হাইকোর্ট। গতকাল সোমবার বিচারপতি এম ইনায়েতুর রহিম ও বিচারপতি আমির হোসেনের সমন্বয়ে গঠিত বেঞ্চ এ আদেশ দেন।']
['  ঢাকায় যুক্তরাজ্যের ভিসাকেন্দ্র পুনরায় চালু করার ব্যাপারে সহায়তা করার আশ্বাস দিয়েছেন সফররত তিন ব্রিটিশ পার্লামেন্ট সদস্য। দেশটির বিরোধী দল লেবার পার্টির ওই এমপিরা গতকাল সোমবার প্রধানমন্ত্রী শেখ হাসিনার সঙ্গে সাক্ষাৎকালে এ আশ্বাস দেন। খবর ইউএনবির।']
['  গ্যাটকো দুর্নীতি মামলা চ্যালেঞ্জ করে বিএনপির চেয়ারপারসন খালেদা জিয়ার করা রিট আবেদন খারিজের পূর্ণাঙ্গ রায় প্রকাশ করেছেন হাইকোর্ট। বিচারিক আদালত এই রায়ের কপি পাওয়ার দুই মাসের মধ্যে খালেদা জিয়াকে আত্মসমর্পণ করতে হবে।']
['  ইউনিয়ন পরিষদ (ইউপি) নির্বাচনে আওয়ামী লীগের মনোনয়ন পাওয়া চেয়ারম্যান প্রার্থীদের প্রত্যয়নপত্রে সই করবেন দলীয়প্রধান শেখ হাসিনা। গতকাল সোমবার আওয়ামী লীগের পক্ষ থেকে নির্বাচন কমিশনকে চিঠি দিয়ে বিষয়টি অবহিত করা হয়।']
['  সাবেক অ্যাটর্নি জেনারেল মাহমুদুল ইসলাম আর নেই। গতকাল সোমবার রাত ১২টার দিকে রাজধানীর ইউনাইটেড হাসপাতালে চিকিৎসাধীন অবস্থায় তিনি মারা যান (ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন)। মাহমুদুল ইসলামের বয়স হয়েছিল ৮০ বছর। তিনি স্ত্রী ও দুই ছেলে রেখে গেছেন। দীর্ঘদিন ধরে তিনি ফুসফুস ও কিডনির সমস্যাসহ নানা রোগে ভুগছিলেন।']
['  রাজধানীর উত্তরা থেকে অপহৃত শিশু মোবারক হোসেনকে দেড় মাস পর গাজীপুর থেকে উদ্ধার করেছে ঢাকা মহানগর পুলিশের (ডিএমপি) গোয়েন্দা বিভাগ (ডিবি)। অপহরণের ঘটনায় জড়িত থাকার অভিযোগে গত রোববার গাইবান্ধা ও গাজীপুর এলাকা থেকে দুজনকে গ্রেপ্তার করা হয়। তাঁরা হলেন আবদুল জব্বার ওরফে ঠান্ডু ও তাঁর স্ত্রী নাজমা আক্তার।']
['  অপহরণের পর মুক্তিপণ না পেয়ে গাজীপুরে চার বছরের এক শিশুকে হত্যা করা হয়েছে। গতকাল সোমবার বিকেলে গাজীপুরের কাশিমপুর সুরাবাড়ি এলাকার একটি জঙ্গল থেকে পুলিশ ওই শিশুর লাশ উদ্ধার করেছে।']
"['  সুন্দরবনের ক্ষতি হয়, এমন কোনো প্রকল্প সেখানে করা যাবে না। তেল-গ্যাস-খনিজ সম্পদ ও বিদ্যুৎ-বন্দর রক্ষা জাতীয় কমিটির সদস্যসচিব আনু মুহাম্মদ গতকাল সোমবার নারায়ণগঞ্জের চাষাঢ়া কেন্দ্রীয় শহীদ মিনারে কমিটির জেলা শাখা আয়োজিত সমাবেশে এ কথা বলেন।']"
['  নারায়ণগঞ্জের আড়াইহাজার উপজেলায় আবারও ডাকাত সন্দেহে গণপিটুনির ঘটনা ঘটেছে। এবার নিহত হয়েছেন একজন। গত সোমবার দিবাগত রাত দেড়টার দিকে আড়াইহাজার-নরসিংদী সড়কের বাঘা নগর সেতুর পাশে এ ঘটনা ঘটে। গতকাল বিকেল পর্যন্ত নিহত ব্যক্তির পরিচয় জানা যায়নি।']
"['  কেরানীগঞ্জে একটি বিদেশি পিস্তলসহ কবির হোসেন (২৮) নামের এক যুবককে গ্রেপ্তার করেছে ঢাকা জেলা (দক্ষিণ) গোয়েন্দা পুলিশ (ডিবি)। ইকুরিয়া বিআরটিএ কার্যালয়ের সামনে থেকে গত রোববার রাতে তাঁকে গ্রেপ্তার করা হয়। ডিবির এসআই মিজানুর রহমান বলেন, কবির হোসেনকে আটকের পর তাঁর দেহ তল্লাশি করে পয়েন্ট টুটু বোরের একটি বিদেশি পিস্তল ও একটি মুখোশ উদ্ধার করা হয়। এ ঘটনায় দক্ষিণ কেরানীগঞ্জ থানায় অস্ত্র আইনে একটি মামলা করা হয়েছে। ডিবির ওসি মো. শাহজামান বলেন, কবির দক্ষিণ কেরানীগঞ্জ থানায় একটি হত্যা মামলার এজাহারভুক্ত আসামি। তিনি দেড় বছর জেল খেটে জামিনে মুক্তি পেয়েছেন। আবার তিনি সন্ত্রাসী কর্মকাণ্ড করার চেষ্টা করছিলেন। ']"
"['  চোট কাটিয়ে ফেরার পর থেকে সময়টা খুব একটা ভালো যাচ্ছে না। ফর্মের সঙ্গে যুঝছেন অ্যালেক্সিস সানচেজ। তবে মাঠের বাইরে সময়টা উপভোগই করছেন আর্সেনালের চিলিয়ান ফরোয়ার্ড। অন্তত চিলির কুকুরের খাবার প্রস্তুতকারী এক প্রতিষ্ঠানের বিজ্ঞাপন দেখে তা-ই মনে হচ্ছে। এমনিতে কুকুর ভালোবাসেন তিনি। এর আগে বড়দিনের সময়ও নিজের কুকুরদের সঙ্গে একটি ভিডিও টুইটারে দিয়েছিলেন। এবার মাস্টার ডগ নামের পণ্যের বিজ্ঞাপনে সেটি আরেকবার দেখা গেল। টুইটারে বিজ্ঞাপনটি নিজেই ছড়িয়ে দিয়েছেন। শ্যুটিং হয়েছে লন্ডনে চিলিয়ান ফরোয়ার্ডের বাড়িতে। বিজ্ঞাপনটিতে নিজের দুই ল্যাবরাডার কুকুর অ্যাটম ও হাম্বারকে পরিচয় করিয়ে দেওয়ার পর সানচেজ নিজেকে পরিচয় করিয়ে দিয়েছেন ‘মাস্টার’ নামে। সানচেজকে সকালবেলা ঘুম থেকে উঠিয়ে দিয়েছে কুকুর দুটি। আবার অ্যাটম ও হাম্বারের চোখে সানগ্লাস লাগিয়ে সেলফিও তুলেছেন আর্সেনাল তারকা। পরে বিজ্ঞাপন যে উদ্দেশ্যে, সেটি মেনে কুকুর দুটিকে খাবারও তৈরি করে দিয়েছেন সানচেজ। ']"
"['  মুক্তিযুদ্ধ, শিক্ষা, ক্রীড়াসহ সাতটি ক্ষেত্রে বিশেষ অবদান রাখার জন্য সাতজনকে একুশে পদক দেবে চট্টগ্রাম সিটি করপোরেশন। ২১ ফেব্রুয়ারি চট্টগ্রাম মুসলিম ইনস্টিটিউট চত্বরে আন্তর্জাতিক মাতৃভাষা দিবসের অনুষ্ঠানে তাঁদের হাতে এই পদক তুলে দেওয়া হবে।']"
['  সকাল সাড়ে নয়টা। রাজশাহী বিশ্ববিদ্যালয়ের আইন বিভাগ। নিচতলায় বিভাগীয় দপ্তরের সামনের বারান্দায় শুয়ে আছেন প্রথম বর্ষের ৫১ জন শিক্ষার্থী। তাঁদের বাকি ৭৯ জন সহপাঠী বিভাগের দ্বিতীয় তলায় পরীক্ষা দিতে বসেছেন। দপ্তরে প্রবেশ ও বের হওয়ার পথ বন্ধ হয়ে আছে। পরীক্ষার্থীদের প্রশ্ন ও উত্তরপত্র দেওয়া যাচ্ছে না। একপর্যায়ে বিভাগীয় দপ্তরের পেছনের জানালা দিয়ে প্রশ্ন ও উত্তরপত্র সরবরাহ করা হলো পরীক্ষার হলে। অনুষ্ঠিত হলো পরীক্ষা।']
"['  বিশিষ্ট পরমাণুবিজ্ঞানী ও প্রধানমন্ত্রী শেখ হাসিনার স্বামী প্রয়াত ড. এম এ ওয়াজেদ মিয়ার ৭৪তম জন্মবার্ষিকী আজ ১৬ ফেব্রুয়ারি। এ উপলক্ষে ঢাকা ও রংপুরে বিভিন্ন রাজনৈতিক, সামাজিক ও সাংস্কৃতিক সংগঠন কর্মসূচি গ্রহণ করেছে। খবর বাসসের।']"
['  কেন্দ্রীয়ভাবে নির্বাচন কমিশনের জাতীয় পরিচয়পত্রের সেবা দেওয়ার কাজ বন্ধ হয়ে গেছে। আজ মঙ্গলবার থেকে পরিচয়পত্রের সেবা সংশ্লিষ্ট উপজেলা ও থানা কার্যালয়ের মাধ্যমে নিতে হবে।']
"['  গ্লুকোমা অন্ধত্বের দ্বিতীয় বৃহত্তম কারণ। এ রোগে চোখের ভেতর চাপ বেড়ে গিয়ে চোখের অপটিক স্নায়ু ক্ষতিগ্রস্ত হয়, ফলে দৃষ্টির পরিসীমা ধীরে ধীরে কমতে থাকে। সঠিক সময়ে সঠিক চিকিৎসা না পেলে রোগী অন্ধ হয়ে যেতে পারে। গ্লুকোমা রোগে দৃষ্টির যে ক্ষতি হয়, তা কখনো ফেরত পাওয়া সম্ভব নয়।']"
['  মুক্তিযুদ্ধের প্রধান সেনাপতি জেনারেল এম এ জি ওসমানীর ৩২তম মৃত্যুবার্ষিকী আজ। এ উপলক্ষে রাজধানী ঢাকা ও সিলেটে বিভিন্ন অনুষ্ঠানের আয়োজন করা হয়েছে।']
['  বাংলাদেশ বিমানবাহিনী যথাযোগ্য মর্যাদায় শহীদ সার্জেন্ট জহুরুল হকের ৪৭তম মৃত্যুবার্ষিকী আজ সোমবার পালন করেছে। ১৯৬৯ সালের এই দিনে তিনি আগরতলা ষড়যন্ত্র মামলায় ঢাকা সেনানিবাসে আটক অবস্থায় পাকিস্তানি সেনাবাহিনী কর্তৃক নিহত হন। এ উপলক্ষে চট্টগ্রামের বিএএফ ঘাঁটি জহুরুল হক কেন্দ্রীয় মসজিদে বাদ জোহর এক মিলাদ মাহফিলের আয়োজন করা হয়। মিলাদ শেষে মরহুমের বিদেহী আত্মার মাগফিরাত এবং দেশের অব্যাহত শান্তি ও সমৃদ্ধি কামনা করে বিশেষ মোনাজাত করা হয়। ওই মিলাদ মাহফিলে উপস্থিত ছিলেন এয়ার ভাইস মার্শাল এহসানুল গণি চৌধুরীসহ ঊর্ধ্বতন কর্মকর্তারা।']
"['  ময়মনসিংহের ঈশ্বরগঞ্জে ট্রেনে কাটা পড়ে তোফাজ্জল হোসেন (৬০) নামে এক ব্যক্তির মৃত্যু হয়েছে। গতকাল সোমবার বিকেলে ঈশ্বরগঞ্জ রেলস্টেশনের অদূরে মরাখোলা নামক স্থানে এই দুর্ঘটনা ঘটে। কিশোরগঞ্জ রেলওয়ে পুলিশের উপপরিদর্শক মো. দেলোয়ার হোসেন বলেন, রেললাইন পার হতে গিয়ে ট্রেনে কাটা পড়েন তোফাজ্জল হোসেন। এ ঘটনায় পুলিশ একটি অপমৃত্যু মামলা দায়ের করেছে। তোফাজ্জল হোসেন গৌরীপুর উপজেলার পুম্বাইল গ্রামের বাসিন্দা। ']"
"['  জামায়াতে ইসলামী মৌলভীবাজার জেলা শাখার আমিরসহ ২০-দলীয় জোটের ১৪ নেতা-কর্মীকে কারাগারে পাঠানো হয়েছে। তাঁদের মধ্যে বিএনপির ১১ জন এবং জামায়াতের তিনজন। গত বছরের ৫ জানুয়ারি ২০-দলীয় জোটের কালো পতাকা মিছিলের সময় পুলিশের সঙ্গে সংঘর্ষের মামলায় মৌলভীবাজারের অতিরিক্ত জ্যেষ্ঠ বিচারিক হাকিম বাহাউদ্দীন কাজীর আদালতে তাঁরা গতকাল সোমবার হাজির হয়ে জামিন চাইলে আদালত তা নামঞ্জুর করেন। ওই নেতা-কর্মীদের মধ্যে রয়েছেন জামায়াতের জেলা আমির আবদুল মান্নান, সদর উপজেলা বিএনপির সাধারণ সম্পাদক মো. ফখরুল ইসলাম, পৌর বিএনপির যুগ্ম সম্পাদক মামুদুর রহমান প্রমুখ। ']"
['  অপহরণের পর মুক্তিপণ না পেয়ে গাজীপুরে চার বছরের এক শিশুকে হত্যা করা হয়েছে। গতকাল সোমবার বিকেলে গাজীপুরের কাশিমপুর সুরাবাড়ি এলাকার একটি জঙ্গল থেকে পুলিশ ওই শিশুর লাশ উদ্ধার করেছে।']
"['  কানাঘুষা শোনা যাচ্ছিল, অভিযুক্ত ফুটবলারদের হয়তো শাস্তি হবে না। তবে শেষ পর্যন্ত ফুটবলাররা বাফুফের শাস্তি থেকে রেহাই পেলেন না।']"
['  রাজধানীর উত্তরা থেকে অপহৃত শিশু মোবারক হোসেনকে দেড় মাস পর গাজীপুর থেকে উদ্ধার করেছে ঢাকা মহানগর পুলিশের (ডিএমপি) গোয়েন্দা বিভাগ (ডিবি)। অপহরণের ঘটনায় জড়িত থাকার অভিযোগে গত রোববার গাইবান্ধা ও গাজীপুর এলাকা থেকে দুজনকে গ্রেপ্তার করা হয়। তাঁরা হলেন আবদুল জব্বার ওরফে ঠান্ডু ও তাঁর স্ত্রী নাজমা আক্তার।']
"['  কখনো ইন্দিরা গান্ধী অ্যাথলেটিকস স্টেডিয়াম, কখনো ভোগেশ্বরী ফুকনানি ইনডোর, ভেন্যু থেকে ভেন্যুতে হন্যে হয়ে ঘুরছেন ঢাকা থেকে আসা বাংলাদেশ অলিম্পিক অ্যাসোসিয়েশনের (বিওএ) কর্মকর্তারা। সবার চোখে-মুখে রাজ্যের বিষণ্নতা। গেমস যতই এগিয়েছে, কর্মকর্তাদের হতাশা বেড়েছে ততই। কাল তাই ভারোত্তোলক মাবিয়া আক্তার সীমান্ত যখন সোনা জিতলেন, বিওএর মহাসচিব সৈয়দ শাহেদ রেজাসহ অন্যরা হন্তদন্ত হয়ে ঢুকলেন গুয়াহাটির দিসপুর ভোগেশ্বরী ইনডোরে। কী এক টনিকে সেই বিষণ্নতা মুহূর্তেই উধাও। এসেই ভারোত্তোলক সীমান্তকে পরম স্নেহে জড়িয়ে ধরলেন বিওএ মহাসচিব। স্বর্ণকন্যাকে ঘিরে সবাই ব্যস্ত হয়ে পড়লেন ছবি তুলতে।']"
['  বিচারপ্রার্থীদের ভোগান্তি কমাতে আপিল বিভাগের অবসরপ্রাপ্ত বিচারপতি এ এইচ এম শামসুদ্দিন চৌধুরীকে গণমাধ্যমে কথা না বলে তাঁর কাছে থাকা মামলার নথিগুলো দ্রুত ফেরত দিতে বলেছেন প্রধান বিচারপতি।']
['  জাতীয় সম্মেলনের পর ছয় মাসের বেশি হয়ে গেলেও এখনো কেন্দ্রীয় কমিটি পূর্ণাঙ্গ করতে পারেনি আওয়ামী লীগের ছাত্রসংগঠন ছাত্রলীগ। এদিকে কমিটি না হওয়ায় পদপ্রত্যাশীরা সাবেক ও বর্তমান নেতাদের বাসায় ছুটছেন।']
